# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logit_model
# start_datetime = 2025-07-10 22:23:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = stan_models/simulated_data.json
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = C:\Users\dimot\AppData\Local\Temp\tmpxugfla48\logit9r8qku44\logit-20250710182320_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logit.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.10.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.10.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.10.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.10.4,theta1.1,theta1.2,theta2.1,theta2.2,lambda.1.1,lambda.2.1,lambda.3.1,lambda.4.1,lambda.5.1,lambda.6.1,lambda.7.1,lambda.8.1,lambda.9.1,lambda.10.1,lambda.1.2,lambda.2.2,lambda.3.2,lambda.4.2,lambda.5.2,lambda.6.2,lambda.7.2,lambda.8.2,lambda.9.2,lambda.10.2
# Adaptation terminated
# Step size = 0.0779399
# Diagonal elements of inverse mass matrix:
# 0.00881009, 3.29157, 0.664216, 0.949961, 1.08505, 0.924497, 0.876617, 0.541866, 0.969039, 1.15357, 0.620141, 0.742081, 0.923129, 1.08207, 0.605478, 0.627164, 0.721081, 0.938031, 1.07359, 1.14875, 1.9623, 1.69675, 1.7071, 1.9195, 2.3605, 2.07839, 2.26095, 2.32498, 2.84919, 2.53783, 0.906729, 1.01363, 1.49782, 1.08497, 1.1932, 1.38362, 1.24911, 1.21373, 0.756655, 0.617631, 0.867706, 1.19467, 0.00131229, 0.543916, 0.000213642, 0.151506, 0.00266689, 0.521565, 0.00286562, 0.715325, 0.0021959, 0.364091, 0.00263083, 0.659419, 0.00178684, 0.433497, 0.00222303, 0.626512, 0.00371522, 0.713054, 0.00386993, 0.725718, 0.00556388, 0.926113, 0.00361441, 0.822064
-94.5558,0.979128,0.0779399,6,63,0,127.125,0.303959,-1.60624,0.840347,0.288061,0.105271,-0.666028,-1.6738,-4.36824,-4.92021,-1.56424,-0.9269,-0.183838,-1.13146,1.00926,0.310764,-0.0239649,-2.88353,-4.29431,-3.79552,-0.281477,-0.763009,-0.914208,-0.00441883,1.07044,0.455511,-1.60377,-4.17458,-3.62823,-4.26885,0.194529,-0.414253,1.06032,0.553138,-0.83328,-0.686674,-1.30053,-1.9571,-2.60046,-3.40816,-0.815526,-1.64724,-0.779308,-0.131204,2.59408,-0.0435194,0.938022,-0.0717056,-0.229682,-0.107995,-0.163198,-0.00905396,-0.0779225,-0.147098,-0.157116,-0.335854,-0.184253,0.283192,2.42913,0.324032,1.71028,-2.62298,-2.8198,-3.2618,-0.702637,0.68072,0.764093
-93.8106,0.876067,0.0779399,6,63,0,123.118,0.314071,-1.11074,0.875764,0.386114,0.0801193,-0.809859,-1.73679,-3.81452,-5.05642,-1.24445,-1.29073,-0.157912,-0.522544,0.969701,0.203458,0.112951,-2.89757,-4.76481,-3.97031,-0.346453,-0.90188,-1.03572,0.0933378,0.514337,0.858212,-1.21204,-3.86739,-3.85188,-3.94536,0.297308,-0.518691,0.569275,0.509804,-1.00398,-0.740072,-1.57651,-2.24361,-2.1054,-3.40083,-0.625726,-2.0299,-0.327824,-0.13467,2.33065,-0.0385495,0.825624,-0.104397,-0.243553,-0.1214,-0.165575,-0.0192495,-0.0719858,-0.151905,-0.140436,-0.32575,-0.167432,0.0155574,2.13432,0.545769,1.44793,-2.53241,-2.62736,-3.5541,-0.975409,0.282491,0.476596
-108.236,0.883104,0.0779399,6,63,0,132.978,0.430752,-2.4276,0.821058,0.806096,1.32634,-0.678312,-4.47376,-4.21192,-4.13346,0.140861,0.356347,-0.777115,-0.901488,1.00123,-0.814744,0.144371,-1.28226,-4.02503,-7.45021,-1.14903,0.275921,-1.17634,1.38033,-0.750957,0.361227,-1.40686,-2.77868,-4.03035,-5.46676,-1.42123,1.95682,0.344647,1.0063,0.522822,0.260041,-0.572687,-2.89021,-1.80385,-4.00491,-0.834064,-1.75476,0.0221188,-0.108181,1.86889,-0.0489145,0.985835,-0.168667,-0.267617,-0.113822,-0.197338,-0.102415,-0.136093,-0.147786,-0.154165,-0.214605,-0.227325,1.02963,2.64456,0.353445,1.45799,-3.55313,-3.28223,-2.78065,-1.63587,-0.541256,1.6031
-113.303,0.951205,0.0779399,6,63,0,148.518,0.277143,1.97643,-1.62217,-0.800996,-0.849504,-0.947592,-2.97841,-3.82806,-4.13172,-2.13635,0.0493791,0.972947,-2.13016,-1.06111,-0.28714,-0.0876803,-1.4332,-4.03671,-6.95696,-1.17011,-1.21748,-1.6482,0.458256,-1.11726,-1.04056,-0.336665,-2.32202,-4.41856,-5.93221,-4.51163,-1.77157,-0.685436,-2.49595,0.0474891,0.0803078,-0.665944,-3.36609,-2.86738,-6.11794,-2.193,-1.64317,-3.52963,-0.101673,0.450959,-0.0548763,1.76721,-0.224532,-0.163753,-0.222471,-0.244379,-0.0452457,-0.0798446,-0.0313211,-0.310777,-0.249333,-0.238802,3.45297,0.8513,1.30685,1.77028,-2.307,-2.8788,-3.62056,1.45175,0.195865,0.689588
-104.915,0.884493,0.0779399,6,63,0,149.59,0.279728,-0.0270032,0.772504,1.55172,1.06832,0.320914,-1.15108,-2.75205,-4.00598,-0.101647,-2.35401,-1.31345,0.101539,0.39516,-0.51801,0.157172,-2.55943,-3.47265,-2.6138,-0.0371661,0.587773,-0.327602,0.326614,0.472651,0.741693,-0.42028,-3.02514,-2.62568,-2.32085,2.19102,-0.519868,1.06257,2.0707,-0.579801,-1.84741,-0.644323,-1.84484,-2.67259,-1.01207,0.531998,-0.188495,2.22935,-0.0582259,1.13049,-0.0630421,1.75272,-0.274737,-0.246532,-0.145337,-0.249239,0.0427966,-0.0649489,-0.113737,-0.233603,-0.171811,-0.189935,3.25442,1.86512,0.406227,1.91482,-3.75383,-2.5612,-3.94609,-1.72837,-0.947178,0.470071
-98.3248,0.966047,0.0779399,6,63,0,132.712,0.292516,-0.807447,-0.0290891,0.250904,0.573623,-0.188045,-1.9371,-1.15616,-2.03436,0.51443,0.274724,0.0253997,-0.282541,1.03933,1.27065,0.53923,-1.54599,-1.90134,-3.60113,0.747463,-1.11698,0.558115,1.48722,-0.993713,1.54612,-1.25459,-3.41028,-1.94399,-3.53665,1.07695,-0.321263,0.908783,2.74562,-1.08411,0.083786,0.302509,-0.827287,0.426193,-2.76621,0.291769,-0.106461,-0.234156,-0.0812875,2.07219,-0.0621737,1.64698,-0.242903,-0.291824,-0.174298,-0.22137,-0.0118466,-0.0963125,-0.122199,-0.147255,-0.281949,-0.202747,3.08531,3.36196,0.835554,1.84206,-3.38691,-2.97835,-3.82172,-0.833369,1.02408,0.435038
