# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logit_model
# start_datetime = 2025-07-10 22:35:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = stan_models/simulated_data.json
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = C:\Users\dimot\AppData\Local\Temp\tmpxugfla48\logitqq_i8z0r\logit-20250710183557_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logit.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.10.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.10.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.10.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.10.4,theta1.1,theta1.2,theta2.1,theta2.2,lambda.1.1,lambda.2.1,lambda.3.1,lambda.4.1,lambda.5.1,lambda.6.1,lambda.7.1,lambda.8.1,lambda.9.1,lambda.10.1,lambda.1.2,lambda.2.2,lambda.3.2,lambda.4.2,lambda.5.2,lambda.6.2,lambda.7.2,lambda.8.2,lambda.9.2,lambda.10.2
# Adaptation terminated
# Step size = 0.083243
# Diagonal elements of inverse mass matrix:
# 0.00903035, 4.2369, 0.724131, 1.05743, 1.07444, 1.22418, 0.616085, 0.615192, 1.15204, 1.22606, 0.673904, 0.885617, 1.12476, 1.16743, 0.801894, 0.692847, 1.03615, 1.4153, 1.12836, 1.12481, 1.48945, 1.39451, 1.56233, 1.81762, 2.01404, 1.927, 1.81799, 2.09537, 2.66866, 2.71674, 0.779636, 1.1071, 1.41136, 1.33755, 1.00048, 0.977141, 1.20312, 1.58623, 0.878579, 0.85127, 1.06298, 1.40798, 0.00110949, 0.568602, 0.000296895, 0.191487, 0.00248181, 0.584711, 0.00315337, 0.55052, 0.00255163, 0.330077, 0.00212822, 0.471631, 0.00184982, 0.480107, 0.00260251, 0.691138, 0.00396023, 0.736851, 0.0047147, 0.887212, 0.0055166, 0.826058, 0.0050083, 0.893617
-105.376,0.969199,0.083243,6,63,0,139.47,0.385185,-0.260459,0.971844,-0.578786,-0.0940341,-0.0366845,-3.10908,-4.61791,-5.48202,-2.67685,-2.3183,-0.804595,-1.78117,0.569739,-0.546113,-0.960172,-2.45336,-5.91715,-6.6861,-2.06074,-1.94062,-1.97907,1.40201,-0.0235373,-2.35648,-0.638559,-1.89251,-4.27764,-4.86448,-1.60508,0.227512,-0.528293,0.369026,2.33712,-0.486776,-1.07385,-2.60784,-4.31651,-3.15498,-1.9719,0.659092,-0.457312,-0.139848,2.09205,-0.0490855,1.15742,-0.205382,-0.212975,-0.17099,-0.320405,-0.119993,-0.0934167,-0.114854,-0.218054,-0.192185,-0.256636,2.33381,1.69401,0.916518,3.54915,-2.35368,-2.67243,-3.38455,0.221491,-1.20075,1.71318
-100.375,0.976021,0.083243,6,63,0,137.915,0.354833,0.067219,1.14026,-0.81396,-0.124935,-0.48394,-2.98567,-4.26904,-4.02933,-2.76916,-1.82173,-0.584033,-2.92212,0.382786,-0.76535,-0.258893,-2.6921,-3.67566,-6.9273,-1.59957,-2.38612,-1.77011,1.66821,0.18996,-1.01239,0.379019,-1.50729,-3.43886,-6.60662,-1.08817,-0.725441,0.663011,1.50702,2.2693,-0.612839,-0.462667,-2.02632,-3.10552,-4.37089,-1.62855,-0.39721,-0.618165,-0.134155,2.10768,-0.0502689,0.97416,-0.265012,-0.195379,-0.172863,-0.316836,-0.0411489,-0.105628,-0.119871,-0.15833,-0.185789,-0.247139,2.97859,1.53794,0.898818,3.19273,-2.46484,-3.08878,-2.66278,-0.362784,-0.458612,1.24337
-105.803,0.745741,0.083243,6,63,0,135.637,0.529123,-3.57319,-1.37196,0.921382,0.654478,-1.3168,-4.50652,-3.89069,-6.36378,-0.0315373,-2.22597,-0.180669,-0.582848,-0.500037,-1.76858,0.319408,-5.07513,-5.95774,-5.95857,-0.95967,-1.52264,-0.816163,-1.46057,-1.12905,0.133108,-2.00073,-5.19664,-4.74614,-6.68706,-2.11581,-2.89687,-1.23194,-2.55637,-3.06152,-1.05205,-1.19291,-3.36494,-4.37541,-3.87865,-1.33217,-2.82434,-1.24172,-0.150766,1.67391,-0.0849052,1.75023,-0.1613,-0.266614,-0.0873715,-0.265192,-0.114876,-0.179134,-0.237419,-0.367327,-0.248351,-0.202735,2.38146,2.98359,0.0147651,2.53051,-3.01926,-3.02079,-4.27926,0.892224,-0.293911,-0.0356296
-103.048,0.988574,0.083243,7,191,0,136.988,0.16492,1.1715,-0.0957027,2.55609,2.03146,0.092409,-0.655799,-4.64795,-4.66416,1.97597,-0.423535,1.5603,0.810729,0.361078,0.041088,1.8168,-1.52893,-3.95686,-5.47887,0.556035,1.10195,1.33887,1.2448,0.782027,2.29655,-0.108693,-2.73799,-4.45888,-3.34975,0.0484503,-0.715982,1.108,-0.162472,-0.778045,1.30038,0.947823,-3.97056,-1.25113,-4.21703,0.595428,-0.271291,1.7167,-0.112475,3.10587,-0.0585254,1.00039,-0.215915,-0.263187,-0.145367,-0.2708,0.00463596,0.00322931,-0.00373299,-0.19795,-0.285215,-0.19774,2.477,2.14651,0.652622,2.18292,-2.00379,-2.44879,-2.46412,-1.47425,0.327703,0.409769
-100.359,0.992491,0.083243,6,63,0,129.617,0.140347,1.98804,0.0216313,2.24714,0.833845,-0.209233,-2.33251,-3.96073,-4.01424,1.26027,0.450422,0.0925016,-1.09117,1.10742,1.40975,1.90392,-1.69302,-4.61106,-6.04354,1.19875,0.545846,-0.0865516,1.21133,0.158298,1.50313,1.50497,-3.82145,-4.97489,-3.71516,-0.249888,0.676812,0.193613,1.10451,0.047644,-0.871708,0.705985,-2.92871,-3.60908,-4.29206,0.0927929,1.00568,0.742654,-0.115545,2.94324,-0.0378495,1.61646,-0.192528,-0.334404,-0.150816,-0.288163,0.0420232,0.00284408,0.015398,-0.165306,-0.190411,-0.113871,2.3915,3.10138,0.506027,2.34376,-2.37127,-2.02912,-2.44566,-1.68737,-1.1314,-0.332074
-88.098,0.99927,0.083243,6,127,0,126.673,0.160177,1.30266,1.33276,0.330961,0.906944,0.164052,-0.687906,-1.22755,-1.91113,-0.741634,-1.15921,2.21212,-0.119394,1.08248,-1.24884,-0.107443,-1.01696,-1.89608,-2.36119,1.33835,0.111345,0.982276,1.46252,-0.0437946,0.298939,-0.94612,-0.358948,-1.28022,-0.736943,0.355625,0.308396,2.19633,1.17886,2.28707,1.97821,1.49697,-0.147475,-0.534465,-0.542677,-0.132827,0.340484,0.415699,-0.0336101,1.39163,-0.0310099,1.19506,-0.143611,-0.138935,-0.103241,-0.181337,-0.023709,-0.0440646,-0.0713847,-0.214855,-0.248848,-0.310111,1.0099,0.380767,0.559704,1.48232,-1.64983,-2.15586,-1.80478,0.573422,0.495926,0.898684
