# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logit_model
# start_datetime = 2025-07-10 22:35:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = stan_models/simulated_data.json
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = C:\Users\dimot\AppData\Local\Temp\tmpxugfla48\logitqq_i8z0r\logit-20250710183557_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logit.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.10.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.10.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.10.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.10.4,theta1.1,theta1.2,theta2.1,theta2.2,lambda.1.1,lambda.2.1,lambda.3.1,lambda.4.1,lambda.5.1,lambda.6.1,lambda.7.1,lambda.8.1,lambda.9.1,lambda.10.1,lambda.1.2,lambda.2.2,lambda.3.2,lambda.4.2,lambda.5.2,lambda.6.2,lambda.7.2,lambda.8.2,lambda.9.2,lambda.10.2
# Adaptation terminated
# Step size = 0.0872615
# Diagonal elements of inverse mass matrix:
# 0.00700324, 3.3995, 0.605417, 0.915817, 1.00726, 0.812046, 0.674875, 0.583945, 0.902212, 0.970441, 0.891836, 0.597608, 1.18441, 1.22492, 0.788054, 0.741528, 1.17737, 1.13907, 1.11075, 1.21386, 1.52913, 1.40282, 1.6005, 1.42476, 1.96278, 1.95585, 2.55944, 1.94285, 2.42698, 2.23795, 0.740942, 0.895003, 1.06575, 1.07473, 0.886983, 1.1123, 0.987937, 1.11804, 0.865784, 0.823951, 1.00592, 1.02486, 0.00113017, 0.654877, 0.000240548, 0.16058, 0.00235143, 0.521848, 0.00273078, 0.638271, 0.00197147, 0.285628, 0.00282145, 0.600664, 0.00195686, 0.45622, 0.00183458, 0.56029, 0.00278529, 0.571428, 0.0042411, 0.801312, 0.00548488, 0.780036, 0.00251498, 0.597348
-101.185,0.711352,0.0872615,6,63,0,129.194,0.459066,-3.57863,0.33313,0.655414,2.15254,0.821939,-1.99715,-4.96947,-5.21108,-1.20942,-0.442412,-0.0869363,0.0639905,-2.1623e-05,1.25646,1.20491,-3.99337,-3.51089,-4.80922,-0.658712,-0.290312,1.19137,1.82197,0.0268331,0.666367,0.795499,-3.50345,-5.71967,-5.84224,0.600699,-0.367088,1.84477,0.892207,-0.484392,2.71963,2.85426,-3.46052,-4.12166,-4.934,-0.768088,-0.0270883,0.327427,-0.154512,3.75742,-0.0571471,1.78774,-0.279529,-0.22189,-0.231228,-0.245931,-0.102622,-0.12239,-0.200805,-0.283106,-0.255982,-0.307845,3.57256,2.38898,1.49654,1.77519,-2.91166,-3.44962,-3.06268,1.13181,-1.16457,1.39032
-104.201,0.715327,0.0872615,5,63,0,133.211,0.447365,-3.01901,0.0622371,1.98269,-0.320091,-1.07041,-3.75803,-2.84447,-6.06493,-1.45873,-0.966934,0.110561,-0.962106,0.438225,0.235313,1.05396,-2.61023,-5.88397,-6.06814,1.24634,-0.201759,-1.01538,1.08179,0.625646,2.12068,0.386934,-3.93082,-2.33358,-3.92783,0.596028,-0.552535,1.65755,1.39691,1.61337,-0.0438598,0.219135,-1.77451,-3.53051,-3.71449,-0.507798,-0.134743,1.86265,-0.121588,2.43571,-0.0486151,1.45976,-0.300599,-0.21881,-0.170899,-0.222633,-0.119458,-0.109516,-0.201921,-0.216481,-0.27207,-0.263805,4.4826,1.74607,1.62599,2.5305,-2.61444,-4.49575,-3.49391,-0.109205,0.383717,0.288897
-103.51,0.878084,0.0872615,6,63,0,133.768,0.433065,-3.55907,1.68114,0.258169,0.908222,1.41435,-2.83212,-4.89138,-4.74042,-0.204984,-0.728361,0.88462,-0.203434,1.44438,1.66302,0.944249,-3.41708,-4.75577,-4.80721,-0.910306,-0.800277,-0.851616,1.5779,0.292537,0.835292,1.19047,-2.42977,-5.10325,-6.53275,0.113795,-1.1015,1.26512,0.705441,-0.175052,1.10351,1.29438,-3.77126,-3.35271,-3.14116,-0.59181,-0.460879,1.76511,-0.123408,2.73402,-0.0522086,1.46574,-0.246298,-0.198953,-0.173653,-0.261135,-0.0699503,-0.153328,-0.221225,-0.212902,-0.171088,-0.217235,2.84757,1.67437,0.513209,1.77245,-2.9456,-1.73482,-2.64919,0.803766,-2.79256,-0.703265
-110.141,0.940551,0.0872615,5,31,0,136.856,0.43296,-3.37828,0.988399,-0.936784,0.237389,0.687745,-3.03188,-4.2085,-5.42627,-1.22789,-0.568345,1.0704,-0.199527,0.443589,0.467337,0.818993,-2.87215,-5.53196,-6.37239,0.391436,-2.63493,-1.24132,2.61748,-0.446161,1.58771,1.45423,-4.94101,-1.86827,-3.53118,1.22684,-1.87233,0.963014,1.15398,-0.803773,1.33708,-0.209857,-4.08084,-0.846328,-4.56457,0.0128381,0.0944829,2.81306,-0.143192,3.10146,-0.0508503,1.22251,-0.2412,-0.21444,-0.187203,-0.230326,-0.0511751,-0.162553,-0.185479,-0.225668,-0.166968,-0.199387,3.16489,2.73884,1.6251,1.53101,-3.83214,-1.87929,-2.20619,-0.719928,-1.00244,0.190846
-109.904,0.982532,0.0872615,6,63,0,144.489,0.336979,-0.033719,-0.641856,1.92396,-0.425217,-0.848794,-4.66181,-4.11105,-5.10839,-1.83134,-1.36026,-0.679522,-0.684298,-0.750482,-2.19402,-0.248929,-1.23699,-4.60771,-7.16033,-0.194271,-1.40472,-0.319334,-1.31659,0.409988,-0.0114536,-0.253775,-4.51206,-1.44899,-3.62335,-1.43019,-2.60347,-1.04691,-0.713367,0.103732,-0.823276,-0.5106,-2.68128,-2.08996,-5.8504,-2.49981,-1.13639,-2.07118,-0.140781,1.87577,-0.0624577,2.04088,-0.164525,-0.236811,-0.0942496,-0.246156,-0.083697,-0.0911203,-0.0965348,-0.231671,-0.372109,-0.231471,1.14723,1.83935,0.0965508,2.43155,-2.44832,-4.92678,-4.56694,0.225361,1.87393,1.65898
-109.708,1,0.0872615,6,127,0,142.844,0.316149,0.0546347,-0.865301,-0.504754,0.953481,-0.692469,-0.443071,-4.39699,-4.63442,-0.820441,-1.86809,0.633077,-2.05977,0.739809,-1.03942,0.774193,-4.28159,-5.81999,-3.70118,-1.2378,-0.190685,-0.891958,2.24453,-1.25404,-0.810849,-0.274982,-2.65673,-6.92095,-6.31955,0.054343,-1.86286,0.960029,-0.775138,1.22792,0.472038,0.455248,-3.90058,-6.32382,-4.31804,0.0353043,-2.11686,-0.960263,-0.155772,2.67636,-0.0793324,2.70173,-0.215328,-0.296086,-0.18051,-0.321697,0.00991839,-0.0386713,-0.123263,-0.142398,-0.29918,-0.318139,2.97168,3.41062,0.965507,3.59897,-3.45274,-3.65825,-3.32262,-1.26265,0.528537,1.6785
