order_id,user_id,order_number,lunes,martes,miercoles,jueves,viernes,sabado,domingo,am,pm
1,3,1,1,0,0,0,0,0,0,0,1
2,3,2,1,0,0,0,0,0,0,0,1
3,3,3,0,0,1,0,0,0,0,0,1
4,3,4,0,1,0,0,0,0,0,0,1
5,12,1,0,0,1,0,0,0,0,1,0
6,12,2,0,1,0,0,0,0,0,1,0
7,12,3,0,0,0,0,1,0,0,1,0
8,12,4,0,0,0,0,1,0,0,0,1
9,12,5,0,1,0,0,0,0,0,0,1
10,10,1,0,0,0,0,1,0,0,0,1
11,10,2,0,0,0,0,1,0,0,0,1
12,10,3,0,0,1,0,0,0,0,0,1
13,10,4,1,0,0,0,0,0,0,0,1
14,10,5,0,0,0,1,0,0,0,0,1
15,10,6,0,0,0,0,0,0,1,0,1
16,10,7,0,0,0,0,0,1,0,0,1
17,10,8,0,0,0,0,1,0,0,1,0
18,10,9,1,0,0,0,0,0,0,0,1
19,10,10,0,0,0,0,1,0,0,1,0
20,10,11,0,1,0,0,0,0,0,0,1
21,10,12,0,0,0,0,0,1,0,0,1
22,10,13,0,0,0,1,0,0,0,0,1
23,10,14,0,0,0,0,1,0,0,1,0
24,6,1,0,0,0,0,0,0,1,0,1
25,6,2,0,1,0,0,0,0,0,0,1
26,6,3,1,0,0,0,0,0,0,0,1
27,6,4,0,0,1,0,0,0,0,1,0
28,14,1,0,1,0,0,0,0,0,1,0
29,14,2,1,0,0,0,0,0,0,0,1
30,14,3,0,1,0,0,0,0,0,0,1
31,14,4,1,0,0,0,0,0,0,0,1
32,14,5,1,0,0,0,0,0,0,1,0
33,14,6,1,0,0,0,0,0,0,1,0
34,14,7,1,0,0,0,0,0,0,0,1
35,14,8,1,0,0,0,0,0,0,0,1
36,14,9,1,0,0,0,0,0,0,0,1
37,14,10,0,0,0,0,0,0,1,0,1
38,14,11,1,0,0,0,0,0,0,1,0
39,14,12,0,1,0,0,0,0,0,0,1
40,14,13,1,0,0,0,0,0,0,0,1
41,14,14,1,0,0,0,0,0,0,0,1
42,7,1,0,0,0,0,1,0,0,0,1
43,7,2,0,0,0,1,0,0,0,0,1
44,7,3,0,0,0,0,0,0,1,0,1
45,7,4,0,0,0,0,0,1,0,0,1
46,7,5,0,0,0,0,0,1,0,0,1
47,7,6,0,0,0,0,1,0,0,0,1
48,7,7,0,0,0,0,0,0,1,0,1
49,7,8,0,0,0,0,0,1,0,0,1
50,7,9,0,0,0,0,0,0,1,0,1
51,4,1,0,1,0,0,0,0,0,0,1
52,4,2,0,0,0,0,0,1,0,0,1
53,4,3,0,0,0,0,1,0,0,0,1
54,4,4,0,0,1,0,0,0,0,1,0
55,4,5,0,0,0,1,0,0,0,1,0
56,4,6,0,0,1,0,0,0,0,1,0
57,4,7,0,0,0,0,0,1,0,0,1
58,4,8,0,0,0,0,0,1,0,0,1
59,5,1,0,0,0,0,0,0,1,1,0
60,5,2,0,0,0,1,0,0,0,1,0
61,5,3,0,0,0,0,0,0,1,0,1
62,5,4,0,0,0,1,0,0,0,0,1
63,5,5,0,0,0,1,0,0,0,0,1
64,5,6,0,0,0,0,0,1,0,0,1
65,5,7,1,0,0,0,0,0,0,1,0
66,5,8,0,0,0,0,0,1,0,1,0
67,5,9,0,0,0,0,0,1,0,0,1
68,5,10,0,0,0,0,0,1,0,0,1
69,5,11,0,0,0,0,0,0,1,0,1
70,5,12,1,0,0,0,0,0,0,0,1
71,5,13,0,0,0,1,0,0,0,0,1
72,5,14,0,0,0,0,0,1,0,0,1
73,5,15,0,0,0,0,0,0,1,0,1
74,5,16,0,1,0,0,0,0,0,0,1
75,5,17,0,0,0,1,0,0,0,0,1
76,5,18,0,0,0,0,0,1,0,0,1
77,5,19,0,0,0,0,0,1,0,0,1
78,5,20,0,0,0,1,0,0,0,0,1
79,5,21,0,1,0,0,0,0,0,1,0
80,5,22,0,0,0,1,0,0,0,1,0
81,5,23,0,0,0,0,0,1,0,0,1
82,5,24,0,0,0,0,0,0,1,0,1
83,5,25,0,0,0,1,0,0,0,0,1
84,5,26,0,0,0,0,0,1,0,1,0
85,5,27,1,0,0,0,0,0,0,0,1
86,5,28,0,0,1,0,0,0,0,1,0
87,5,29,0,0,0,1,0,0,0,1,0
88,5,30,0,0,0,0,0,1,0,0,1
89,5,31,0,0,0,1,0,0,0,1,0
90,5,32,1,0,0,0,0,0,0,1,0
91,5,33,0,0,0,1,0,0,0,0,1
92,5,34,0,0,0,0,0,1,0,1,0
93,5,35,0,0,0,1,0,0,0,1,0
94,5,36,0,0,0,1,0,0,0,0,1
95,5,37,0,0,0,1,0,0,0,1,0
96,5,38,0,0,0,1,0,0,0,0,1
97,5,39,0,0,0,1,0,0,0,0,1
98,5,40,0,0,0,1,0,0,0,0,1
99,5,41,0,0,0,1,0,0,0,0,1
100,5,42,0,0,0,1,0,0,0,0,1
101,5,43,0,0,1,0,0,0,0,0,1
102,5,44,0,0,0,1,0,0,0,0,1
103,5,45,0,0,0,0,0,0,1,0,1
104,5,46,0,1,0,0,0,0,0,0,1
105,5,47,0,0,0,1,0,0,0,1,0
106,5,48,0,0,0,1,0,0,0,0,1
107,5,49,0,0,0,0,0,1,0,0,1
108,5,50,0,0,0,0,0,0,1,0,1
109,5,51,0,0,0,1,0,0,0,0,1
110,5,52,0,0,0,0,0,1,0,0,1
111,5,53,0,0,0,0,0,0,1,1,0
112,5,54,0,0,0,1,0,0,0,0,1
113,5,55,0,0,0,1,0,0,0,0,1
114,5,56,0,0,0,1,0,0,0,0,1
115,5,57,0,0,0,1,0,0,0,1,0
116,5,58,0,0,0,1,0,0,0,0,1
117,5,59,0,0,0,1,0,0,0,0,1
118,5,60,0,0,0,1,0,0,0,0,1
119,5,61,0,0,1,0,0,0,0,0,1
120,5,62,0,0,0,1,0,0,0,1,0
121,5,63,0,0,0,1,0,0,0,0,1
122,5,64,0,0,0,1,0,0,0,0,1
