,MAE,Estimator,n
0,242.07534668206895,MLE,128
1,67.91822164398907,MPLE,128
2,61.31468014724274,MLE,256
3,32.532692485843974,MPLE,256
4,46.73918639905343,MLE,512
5,38.85008325879034,MPLE,512
6,13.213781427723406,MLE,1024
7,13.366080149451841,MPLE,1024
8,10.590431289340712,MLE,2048
9,10.220358913006708,MPLE,2048
10,8.91277049153662,MLE,4096
11,9.355037002004096,MPLE,4096
12,5.8628002887976685,MLE,8192
13,5.865845024044491,MPLE,8192
14,4.1111632487216525,MLE,16384
15,3.842895261737887,MPLE,16384
16,382.9988590791327,MLE,128
17,96.30132134424137,MPLE,128
18,104.74675322395935,MLE,256
19,53.63148685096738,MPLE,256
20,82.15147930413346,MLE,512
21,32.58777259948052,MPLE,512
22,27.812906374328836,MLE,1024
23,23.29900197156258,MPLE,1024
24,41.98045249297739,MLE,2048
25,27.431113235639835,MPLE,2048
26,15.014350574617112,MLE,4096
27,15.74234941923083,MPLE,4096
28,9.72752596686841,MLE,8192
29,8.707344278480283,MPLE,8192
30,6.434499604392294,MLE,16384
31,10.456914134044496,MPLE,16384
32,392.53591384977767,MLE,128
33,120.92927251636858,MPLE,128
34,898.1193297023207,MLE,256
35,75.94331337263056,MPLE,256
36,293.0153353337536,MLE,512
37,39.275045550609136,MPLE,512
38,82.39234174160774,MLE,1024
39,34.7934634965307,MPLE,1024
40,90.06747333426848,MLE,2048
41,23.566066647732455,MPLE,2048
42,128.48693423298764,MLE,4096
43,28.193584198447553,MPLE,4096
44,37.92533094410229,MLE,8192
45,21.00951167223802,MPLE,8192
46,30.575319142354466,MLE,16384
47,27.275416188297207,MPLE,16384
48,284.27583210687783,MLE,128
49,70.97728320111104,MPLE,128
50,147.49880310417765,MLE,256
51,69.73447919442552,MPLE,256
52,294.3250023035382,MLE,512
53,58.521245995222756,MPLE,512
54,150.97711513678303,MLE,1024
55,44.80347804216207,MPLE,1024
56,89.56812213697216,MLE,2048
57,26.182507006120723,MPLE,2048
58,57.67062184738965,MLE,4096
59,25.61142969533543,MPLE,4096
60,48.83648293291585,MLE,8192
61,25.411778740124564,MPLE,8192
62,32.478084189787346,MLE,16384
63,18.89250916858219,MPLE,16384
64,237.1900867231014,MLE,128
65,70.76930573975169,MPLE,128
66,32.45843205961347,MLE,256
67,37.03479767838432,MPLE,256
68,36.93184169514056,MLE,512
69,31.58498957626826,MPLE,512
70,15.783150607703137,MLE,1024
71,16.67281595131241,MPLE,1024
72,13.759853455725239,MLE,2048
73,13.369846057736545,MPLE,2048
74,8.797510267896136,MLE,4096
75,9.080649297546117,MPLE,4096
76,5.89813687377108,MLE,8192
77,5.854861707349579,MPLE,8192
78,5.755460086064227,MLE,16384
79,5.567977486496065,MPLE,16384
