MAE,Estimator,n
107.68299997906668,MLE,64
311.83299907212864,MPLE,64
220.57429638300206,MLE,128
281.5253924230302,MPLE,128
318.4356237496756,MLE,256
252.05307951220115,MPLE,256
23.475604201955466,MLE,512
26.811517315245922,MPLE,512
17.15876729865367,MLE,1024
17.509313235216567,MPLE,1024
8.521321856958101,MLE,2048
10.725327952016794,MPLE,2048
5.27523268222244,MLE,4096
5.357724215772323,MPLE,4096
6.659481362353453,MLE,8192
7.084365949241005,MPLE,8192
5.078324235908625,MLE,16384
4.891693067973173,MPLE,16384
158.27420281451123,MLE,64
149.68316493194246,MPLE,64
1489.7737381465658,MLE,128
2265.058277375198,MPLE,128
84.89735494300544,MLE,256
297.4720676808501,MPLE,256
75.25882368836231,MLE,512
90.3737793180144,MPLE,512
46.91632131859796,MLE,1024
59.204987869235076,MPLE,1024
47.37411582109228,MLE,2048
59.8482106582487,MPLE,2048
11.811722982669894,MLE,4096
21.477531703895036,MPLE,4096
6.815338199599383,MLE,8192
7.753980691626104,MPLE,8192
5.186078403703345,MLE,16384
9.45857561446003,MPLE,16384
97.30942838683582,MLE,64
116.19068000341753,MPLE,64
41.69733310686436,MLE,128
40.29205552211298,MPLE,128
10.504699804061989,MLE,256
10.309292372000952,MPLE,256
5.686281648728862,MLE,512
5.651779698443398,MPLE,512
4.370755524882795,MLE,1024
4.054244405734988,MPLE,1024
3.6374495908241387,MLE,2048
3.645063592242447,MPLE,2048
3.5055692457013126,MLE,4096
3.547480300559612,MPLE,4096
2.6471152985520536,MLE,8192
2.6194020184815323,MPLE,8192
2.6279491019752883,MLE,16384
2.608406059644713,MPLE,16384
371.4132537530255,MLE,64
682.6343325871086,MPLE,64
712.254059899163,MLE,128
1445.6695731305695,MPLE,128
28.81173396680004,MLE,256
29.611161582457715,MPLE,256
7.946998770900111,MLE,512
7.780621286935908,MPLE,512
5.921359561961062,MLE,1024
5.842855515047068,MPLE,1024
3.9856008595182946,MLE,2048
4.099051163286032,MPLE,2048
3.541649406125709,MLE,4096
3.461703854879321,MPLE,4096
3.1882069474441868,MLE,8192
3.333492482389362,MPLE,8192
2.6836343984203603,MLE,16384
2.677780398616196,MPLE,16384
1406.6645040081517,MLE,64
1758.0074257132528,MPLE,64
430.8771524509263,MLE,128
74.9289377197917,MPLE,128
189.8289871165709,MLE,256
2140.209923113987,MPLE,256
133.91105212772715,MLE,512
161.84047288299865,MPLE,512
131.67028132113498,MLE,1024
227.00778382135985,MPLE,1024
9.545007074827824,MLE,2048
13.676671951871883,MPLE,2048
35.841359804723844,MLE,4096
44.19793758442823,MPLE,4096
10.922851694600338,MLE,8192
11.650925459061792,MPLE,8192
8.907424611348072,MLE,16384
12.174247890118686,MPLE,16384
467.271676848051,MLE,64
3170.6920414905862,MPLE,64
39.51730538121252,MLE,128
43.159348530620825,MPLE,128
64.88023873752451,MLE,256
72.2078109298529,MPLE,256
10.911613129251174,MLE,512
10.825178842476907,MPLE,512
8.451395093738128,MLE,1024
8.638094723214504,MPLE,1024
6.5543585655076795,MLE,2048
6.5321096026328505,MPLE,2048
6.910896521629598,MLE,4096
6.804479688945807,MPLE,4096
3.712924645335992,MLE,8192
3.6005046797367326,MPLE,8192
3.2153494986826376,MLE,16384
3.265908727665028,MPLE,16384
58.71761587065395,MLE,64
49.51343345877847,MPLE,64
71.59565494711181,MLE,128
101.3764731005821,MPLE,128
57.949848293915146,MLE,256
59.08478607968844,MPLE,256
7.919914218515821,MLE,512
8.457022464515452,MPLE,512
11.060698176586182,MLE,1024
11.303732548537393,MPLE,1024
6.9276408761375885,MLE,2048
7.144354042342872,MPLE,2048
4.669172500826008,MLE,4096
4.535841638010249,MPLE,4096
3.289650009338654,MLE,8192
3.494753943121679,MPLE,8192
2.8996393027784046,MLE,16384
2.9828378542383605,MPLE,16384
1317.9204916236456,MLE,64
686.9401090888518,MPLE,64
27.053674920578985,MLE,128
28.67687537791719,MPLE,128
25.01143923933917,MLE,256
31.37962696636404,MPLE,256
37.936969985044115,MLE,512
51.776026945797874,MPLE,512
9.724753344061206,MLE,1024
9.615117292309025,MPLE,1024
4.927086636768719,MLE,2048
5.179195616814441,MPLE,2048
4.674098609984738,MLE,4096
4.52085759442098,MPLE,4096
4.814148154292825,MLE,8192
4.740073855800137,MPLE,8192
3.585380041569789,MLE,16384
3.7354017909690627,MPLE,16384
71.52739948943919,MLE,64
59.97675296658181,MPLE,64
43.866329583352304,MLE,128
47.811296790234756,MPLE,128
543.0984392100328,MLE,256
436.88807102034764,MPLE,256
74.46074595685182,MLE,512
84.3848656824031,MPLE,512
10.85866679442789,MLE,1024
11.582832405263702,MPLE,1024
4.9264864326824735,MLE,2048
4.845751965740298,MPLE,2048
6.860082520467175,MLE,4096
6.965989230491152,MPLE,4096
4.246232814836874,MLE,8192
4.4667356692578295,MPLE,8192
3.1035249202317785,MLE,16384
3.1926127204573267,MPLE,16384
130.6811682949033,MLE,64
579.2026940803551,MPLE,64
122.89482378426295,MLE,128
82.34656928201687,MPLE,128
6323.984239127739,MLE,256
4459.235742875724,MPLE,256
715.4231581317222,MLE,512
877.9154562839884,MPLE,512
57.73163313840611,MLE,1024
70.59829973355573,MPLE,1024
10.657020758301005,MLE,2048
12.47321967629202,MPLE,2048
30.07100702410542,MLE,4096
47.23305962959809,MPLE,4096
5.242548482820728,MLE,8192
5.554273314165458,MPLE,8192
11.634096629865635,MLE,16384
12.791202451465718,MPLE,16384
311.037070224546,MLE,64
533.8109493493376,MPLE,64
101.02177244181664,MLE,128
66.65505204242207,MPLE,128
81.22343233224073,MLE,256
99.10780457342948,MPLE,256
32.024295305018484,MLE,512
86.53638251521032,MPLE,512
133.55702312910475,MLE,1024
323.7352554162595,MPLE,1024
55.98116868587312,MLE,2048
147.60396587270805,MPLE,2048
16.35505593048035,MLE,4096
33.36715029519825,MPLE,4096
19.704761015191707,MLE,8192
21.336061235310506,MPLE,8192
13.328771103098155,MLE,16384
15.771385803473567,MPLE,16384
345.1852321296636,MLE,64
365.507558664483,MPLE,64
2882.1491460393636,MLE,128
2953.274399166947,MPLE,128
920.9079482403571,MLE,256
781.8366842765934,MPLE,256
45.461479979690324,MLE,512
29.14974304402144,MPLE,512
73.13594742318999,MLE,1024
149.86628448972567,MPLE,1024
36.96660850249947,MLE,2048
42.942247466017626,MPLE,2048
17.7406576762455,MLE,4096
33.32983022503786,MPLE,4096
20.90233626458138,MLE,8192
31.348520434812308,MPLE,8192
12.86375396419629,MLE,16384
13.644589012830144,MPLE,16384
308.10752211288224,MLE,64
1395.0015867559691,MPLE,64
206.12059503473148,MLE,128
279.64306596351526,MPLE,128
56.51006576379066,MLE,256
62.59521523187924,MPLE,256
44.11618631012484,MLE,512
47.98207541493744,MPLE,512
19.542659618629813,MLE,1024
20.010037731850332,MPLE,1024
15.515355513997402,MLE,2048
16.936933147158886,MPLE,2048
11.713227306947845,MLE,4096
12.696583527923405,MPLE,4096
7.08383151209052,MLE,8192
7.352525582762975,MPLE,8192
4.719430874789052,MLE,16384
6.246651927356604,MPLE,16384
586.0659305794454,MLE,64
261.2622515972692,MPLE,64
51.845043150131,MLE,128
36.1827363539669,MPLE,128
663.2459174035963,MLE,256
87.73063884105666,MPLE,256
17.741795542136906,MLE,512
452.5176765070866,MPLE,512
68.52965186400925,MLE,1024
86.79454327636023,MPLE,1024
30.156716262289457,MLE,2048
77.33784688145641,MPLE,2048
65.00007798168033,MLE,4096
62.73213610515631,MPLE,4096
6.9729133081695345,MLE,8192
8.402320614800043,MPLE,8192
5.819493820316911,MLE,16384
8.491826621530198,MPLE,16384
222.88063427146142,MLE,64
298.5229992360991,MPLE,64
13.782862021796365,MLE,128
14.650528323132008,MPLE,128
12.596940024778924,MLE,256
11.950506717899446,MPLE,256
6.104631387122169,MLE,512
5.665110328807809,MPLE,512
5.635880073054842,MLE,1024
5.7202016999668865,MPLE,1024
6.858618759834652,MLE,2048
7.039439608464032,MPLE,2048
4.290088460618649,MLE,4096
4.3405899436718745,MPLE,4096
3.507639447781729,MLE,8192
3.559058246390343,MPLE,8192
3.416138699536962,MLE,16384
3.411078021798315,MPLE,16384
174.2894830588034,MLE,64
155.38987528407108,MPLE,64
52.82670655171926,MLE,128
108.49351849534455,MPLE,128
19.47833799265663,MLE,256
22.823695475293263,MPLE,256
5.746634386239819,MLE,512
6.5369290374735884,MPLE,512
17.596771526595912,MLE,1024
40.349319389650084,MPLE,1024
17.81467437635439,MLE,2048
238.7197050966175,MPLE,2048
20.248388372476718,MLE,4096
40.0120656328437,MPLE,4096
16.519631624996894,MLE,8192
28.354640756007065,MPLE,8192
9.290666433608864,MLE,16384
15.25539441349264,MPLE,16384
225.70680716350867,MLE,64
342.8373840625739,MPLE,64
741.9805969786185,MLE,128
192.11708509296662,MPLE,128
428.07247362882214,MLE,256
1461.6447074877105,MPLE,256
147.73315968412163,MLE,512
370.37591779331365,MPLE,512
102.41011311118626,MLE,1024
39.83172897725231,MPLE,1024
39.239165040785366,MLE,2048
127.49960546232856,MPLE,2048
15.67234168487646,MLE,4096
22.91571299166527,MPLE,4096
12.066706976397587,MLE,8192
39.58976523699412,MPLE,8192
6.739856522244897,MLE,16384
16.028019533832204,MPLE,16384
124.66555022401947,MLE,64
74.93014074476872,MPLE,64
405.15166396973143,MLE,128
2173.439441762197,MPLE,128
211.40217982417713,MLE,256
227.66348967487107,MPLE,256
149.0028599098292,MLE,512
186.35520596019998,MPLE,512
50.720244566155785,MLE,1024
54.34243364241272,MPLE,1024
32.053222211964226,MLE,2048
36.67361158573493,MPLE,2048
15.909809309177525,MLE,4096
18.41550606071006,MPLE,4096
16.41636344017045,MLE,8192
22.11308687534213,MPLE,8192
6.447184061112144,MLE,16384
7.223290752519427,MPLE,16384
93.95118058039752,MLE,64
130.38012212032103,MPLE,64
121.2629609936268,MLE,128
184.99487048303183,MPLE,128
56.281142343422005,MLE,256
60.41121027637066,MPLE,256
14.938798038183455,MLE,512
16.174956924434397,MPLE,512
17.33347265209128,MLE,1024
17.54177953231594,MPLE,1024
11.830576015236845,MLE,2048
11.63801960028656,MPLE,2048
12.686474669698304,MLE,4096
12.60852306124373,MPLE,4096
5.658958367017526,MLE,8192
6.221040964438658,MPLE,8192
3.888758808869467,MLE,16384
3.7947707559570243,MPLE,16384
651.5452068637924,MLE,64
719.5743723209332,MPLE,64
439.27782563058804,MLE,128
236.907195734591,MPLE,128
188.471627069861,MLE,256
331.5650390935922,MPLE,256
73.7109978182722,MLE,512
95.6865601813285,MPLE,512
45.4650434383905,MLE,1024
41.76849325279124,MPLE,1024
24.747665557075297,MLE,2048
27.76448771486534,MPLE,2048
11.50308848013757,MLE,4096
10.978229888790185,MPLE,4096
13.332405927604396,MLE,8192
17.52293196678179,MPLE,8192
5.183169808015459,MLE,16384
9.668207507454957,MPLE,16384
6.984892795104962,MLE,64
6.7417745810144805,MPLE,64
255.94574754957915,MLE,128
137.96059693214448,MPLE,128
1096.3277648256017,MLE,256
493.42597060203207,MPLE,256
172.13403957066188,MLE,512
195.93540148908974,MPLE,512
7.242433390981556,MLE,1024
12.427993768036364,MPLE,1024
47.36673526222106,MLE,2048
46.69764474139328,MPLE,2048
26.194158292236793,MLE,4096
30.84488437584175,MPLE,4096
8.110664975507126,MLE,8192
18.448245427069942,MPLE,8192
5.193954196687109,MLE,16384
26.196540688052778,MPLE,16384
17.880690450568984,MLE,64
