MAE,Estimator,n
34.850893357634504,MLE,64
27.99164678443609,MPLE,64
24.05872575857339,MLE,128
25.635039954076735,MPLE,128
18.427852884407102,MLE,256
17.952729589956974,MPLE,256
25.298925076075687,MLE,512
26.232866476853683,MPLE,512
10.25968689262265,MLE,1024
10.154531927315604,MPLE,1024
11.00365172872315,MLE,2048
10.996044326801139,MPLE,2048
5.707837839974909,MLE,4096
8.118987181019843,MPLE,4096
10.626869279965128,MLE,8192
11.73888690003566,MPLE,8192
4.416957170232198,MLE,16384
2.172446892910194,MPLE,16384
16.401386560141294,MLE,64
21.182001172747526,MPLE,64
9.397207096876624,MLE,128
8.150813593952607,MPLE,128
7.917963300833804,MLE,256
8.187968153015007,MPLE,256
4.335649036094939,MLE,512
4.37165226017225,MPLE,512
1.6080942928263544,MLE,1024
1.807757696916915,MPLE,1024
1.8705372697558318,MLE,2048
2.0082360317877574,MPLE,2048
2.4508947715070093,MLE,4096
2.432898417527068,MPLE,4096
1.1493885035226352,MLE,8192
1.1513101390666152,MPLE,8192
0.9698469528622155,MLE,16384
1.2366331064311886,MPLE,16384
21.839037547573014,MLE,64
20.766075923857535,MPLE,64
6.783371142312399,MLE,128
5.857737715774855,MPLE,128
7.927775415845781,MLE,256
8.460989308323304,MPLE,256
5.123075692781045,MLE,512
5.5680993955082,MPLE,512
2.658044899443951,MLE,1024
2.4607406004730077,MPLE,1024
2.3414523799433278,MLE,2048
2.273839319003935,MPLE,2048
1.2747283702426866,MLE,4096
1.3952220969853932,MPLE,4096
1.3608589577419292,MLE,8192
1.4532031762758608,MPLE,8192
0.6651715912226469,MLE,16384
0.7094923261865159,MPLE,16384
41.90678273009759,MLE,64
47.97739094362737,MPLE,64
29.253374294481958,MLE,128
33.84701880054304,MPLE,128
18.7102885273611,MLE,256
21.991068681314356,MPLE,256
11.333695405318576,MLE,512
12.778110629761942,MPLE,512
17.06327925391199,MLE,1024
17.81186386723186,MPLE,1024
8.82646102031748,MLE,2048
9.12342733637135,MPLE,2048
6.5307694810771535,MLE,4096
7.767983517064914,MPLE,4096
2.4868070634489334,MLE,8192
3.4812895899231107,MPLE,8192
2.4097744422836747,MLE,16384
2.428769330566968,MPLE,16384
58.15157981399333,MLE,64
52.07375442485077,MPLE,64
20.972600627799615,MLE,128
17.831695032033934,MPLE,128
21.942646594730526,MLE,256
15.438463617189825,MPLE,256
6.528768298538547,MLE,512
6.49484588837216,MPLE,512
3.271044200149033,MLE,1024
3.2495551143064203,MPLE,1024
5.740673505773287,MLE,2048
5.749392432521738,MPLE,2048
3.8833461731047594,MLE,4096
4.070844176815812,MPLE,4096
1.9978392662495619,MLE,8192
2.164506567017235,MPLE,8192
1.0600819580082426,MLE,16384
1.2291781943719717,MPLE,16384
29.94887947131593,MLE,64
34.594379576696355,MPLE,64
30.47370384357338,MLE,128
32.392317376649636,MPLE,128
31.59854830653437,MLE,256
33.45115226923439,MPLE,256
15.08527304024985,MLE,512
18.560439881676054,MPLE,512
15.249986332551451,MLE,1024
14.842665530308622,MPLE,1024
9.98135737680974,MLE,2048
9.666299344819144,MPLE,2048
17.25704905774103,MLE,4096
24.650806095741682,MPLE,4096
6.402581910177151,MLE,8192
6.586477551341977,MPLE,8192
5.74466776458544,MLE,16384
5.85742793398706,MPLE,16384
25.55332933495795,MLE,64
23.570569510536075,MPLE,64
23.737931866379537,MLE,128
23.364837880682558,MPLE,128
4.442599123404339,MLE,256
4.513083073383403,MPLE,256
4.322815378883181,MLE,512
3.766450222313878,MPLE,512
2.3106630185969417,MLE,1024
2.1710623146168597,MPLE,1024
2.0074226638514743,MLE,2048
2.2343417384283324,MPLE,2048
2.2332134001143684,MLE,4096
2.2857308222159523,MPLE,4096
1.4834881902466241,MLE,8192
1.5445612483744797,MPLE,8192
0.8196376327422233,MLE,16384
0.821941568943354,MPLE,16384
835.617295012863,MLE,64
758.782168430323,MPLE,64
30.908060580661903,MLE,128
41.06473460182885,MPLE,128
349.29112018046624,MLE,256
880.0799325283465,MPLE,256
33.487638607680594,MLE,512
33.27570406189911,MPLE,512
41.090197012505705,MLE,1024
41.392696596304845,MPLE,1024
58.982605013957475,MLE,2048
55.11982149423959,MPLE,2048
14.314288920249938,MLE,4096
14.80215833343574,MPLE,4096
21.318646275331513,MLE,8192
20.89059216765486,MPLE,8192
12.44901622571213,MLE,16384
12.508444131288837,MPLE,16384
25.802277357076736,MLE,64
25.162156328926905,MPLE,64
4.834981913860291,MLE,128
5.839542297140897,MPLE,128
6.727839318357402,MLE,256
7.026296479329107,MPLE,256
4.76226619922021,MLE,512
5.0212382049028905,MPLE,512
2.8224995962463555,MLE,1024
3.0172437986624736,MPLE,1024
2.234460879407638,MLE,2048
2.3264166060701403,MPLE,2048
1.5575157662532038,MLE,4096
1.7680660361663765,MPLE,4096
0.9636198170644239,MLE,8192
0.8708212808434295,MPLE,8192
0.953446701032153,MLE,16384
0.9055967307499944,MPLE,16384
45.81439315137,MLE,64
45.67640869439691,MPLE,64
