# stan_version_major = 2
# stan_version_minor = 36
# stan_version_patch = 0
# model = logit_model
# start_datetime = 2025-07-10 22:35:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 500
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = stan_models/simulated_data.json
# init = 2 (Default)
# random
#   seed = 12345
# output
#   file = C:\Users\dimot\AppData\Local\Temp\tmpxugfla48\logitqq_i8z0r\logit-20250710183557_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.36.0
# stancflags = --filename-in-msg=logit.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,gamma.2,beta.1.1,beta.2.1,beta.3.1,beta.4.1,beta.5.1,beta.6.1,beta.7.1,beta.8.1,beta.9.1,beta.10.1,beta.1.2,beta.2.2,beta.3.2,beta.4.2,beta.5.2,beta.6.2,beta.7.2,beta.8.2,beta.9.2,beta.10.2,beta.1.3,beta.2.3,beta.3.3,beta.4.3,beta.5.3,beta.6.3,beta.7.3,beta.8.3,beta.9.3,beta.10.3,beta.1.4,beta.2.4,beta.3.4,beta.4.4,beta.5.4,beta.6.4,beta.7.4,beta.8.4,beta.9.4,beta.10.4,theta1.1,theta1.2,theta2.1,theta2.2,lambda.1.1,lambda.2.1,lambda.3.1,lambda.4.1,lambda.5.1,lambda.6.1,lambda.7.1,lambda.8.1,lambda.9.1,lambda.10.1,lambda.1.2,lambda.2.2,lambda.3.2,lambda.4.2,lambda.5.2,lambda.6.2,lambda.7.2,lambda.8.2,lambda.9.2,lambda.10.2
# Adaptation terminated
# Step size = 0.0891479
# Diagonal elements of inverse mass matrix:
# 0.00593022, 2.66208, 0.691516, 0.880702, 1.05613, 1.48713, 0.552389, 0.739338, 0.868923, 1.5305, 0.626237, 1.01918, 0.929819, 1.23147, 0.551681, 0.66269, 1.38485, 1.40502, 0.992361, 1.20592, 1.59768, 1.60192, 1.53708, 1.29001, 1.89989, 1.56196, 1.91343, 1.71324, 1.7863, 1.93478, 0.634237, 0.691931, 1.20936, 1.437, 1.07261, 1.37236, 1.03906, 1.34098, 0.820335, 0.891404, 0.851561, 1.345, 0.000950624, 0.576193, 0.000249025, 0.166266, 0.00257885, 0.536524, 0.0030454, 0.607278, 0.00240488, 0.379384, 0.00231464, 0.458642, 0.00129499, 0.387248, 0.00169135, 0.63351, 0.00278747, 0.711989, 0.00427208, 0.789083, 0.00537154, 0.832634, 0.00307997, 0.875432
-87.6603,0.909529,0.0891479,5,31,0,115.616,0.210119,0.548707,0.535979,0.0136154,1.19453,-1.2024,-2.1868,-2.24543,-3.06572,0.824965,0.449703,0.0871521,-2.12368,-0.189129,-0.13073,1.25246,-0.694992,-2.63219,-3.7622,0.521293,0.133049,0.151984,0.755882,-0.603605,-0.396611,1.16368,-1.68637,-1.86986,-1.73571,0.848188,0.771802,-0.382896,0.42883,-0.0263495,0.772826,0.964275,-0.862043,-0.338264,-1.04599,-1.11882,-0.538685,-0.0933703,-0.0629131,1.24414,-0.0434526,1.0275,-0.165403,-0.202281,-0.129628,-0.234191,-0.0182069,-0.0456764,-0.104258,-0.290118,-0.20785,-0.172005,2.56937,2.21622,0.359452,2.51718,-2.52831,-3.69986,-1.25742,-0.207407,-0.173784,0.57943
-90.7393,0.993758,0.0891479,6,63,0,116.519,0.101688,2.87751,0.0733607,1.54898,0.0320279,-0.191357,0.426004,-0.674575,-0.29847,-0.386395,-1.13693,0.795103,0.446955,0.530565,0.621099,-0.205751,-1.35202,-1.78835,-0.676788,0.0492416,1.20178,-0.381307,0.67275,0.398124,1.51474,-0.719548,0.486271,0.302315,-0.670879,-0.68179,-0.47998,2.26995,-0.336517,0.816819,-1.24695,-0.119903,1.19628,0.783066,0.673988,1.46139,0.709234,0.983979,0.00329378,0.202739,-0.0536606,1.48534,-0.237582,-0.23923,-0.182743,-0.233457,0.00588571,-0.0271217,-0.0453053,-0.161888,-0.254911,-0.221875,2.28698,1.73166,1.14675,2.19773,-1.7554,-1.55711,-4.5758,0.0584477,1.54131,1.03186
-104.273,0.792577,0.0891479,6,127,0,129.192,0.165287,3.46315,0.247542,0.701351,-0.686939,-1.71135,-2.49355,-0.114819,-1.86058,-0.963038,0.0705506,-0.356471,-2.07604,-2.48159,-0.748624,0.645996,0.538831,-0.937722,-1.73736,-0.727954,-0.797103,-0.528184,-1.13746,-0.103429,1.0744,-0.233474,-0.133021,-1.28504,0.986779,-2.28879,0.413254,0.781293,0.902468,-0.154179,-1.3634,-0.386905,-1.70696,1.1517,-1.23646,-1.14475,-0.838711,0.650505,-0.0231744,-0.110351,-0.0443286,1.5696,-0.244017,-0.206804,-0.185349,-0.237614,-0.0422967,-0.0796453,-0.0505878,-0.175976,-0.389013,-0.332278,2.76274,1.49478,1.47596,1.63671,-2.37916,-3.10788,-3.18492,-0.626013,0.678158,2.27672
-103.803,0.976601,0.0891479,5,31,0,134.249,0.20698,2.66455,0.681005,0.323806,-1.11407,-1.70622,-2.24906,-1.53485,-0.504524,-0.535487,0.94751,0.376247,-2.57148,-0.281567,0.059379,0.707438,-0.154395,-0.181426,-2.20578,-0.218771,0.831784,-1.04345,-1.36178,-0.0808362,0.845791,-1.3255,-1.77813,-0.472963,1.40216,-1.7803,0.821684,1.41218,0.883469,0.784121,-2.00678,-0.192605,-2.28309,0.690076,-1.1555,-0.848449,-0.071414,-0.450766,-0.0112125,-0.0510119,-0.032287,1.39405,-0.200439,-0.234743,-0.182555,-0.203581,-0.00868071,-0.0775492,-0.102596,-0.216247,-0.350982,-0.298605,2.27758,1.79108,1.5295,1.78003,-2.33972,-2.98922,-3.28865,-0.718363,0.21188,1.63744
-101.397,0.99927,0.0891479,6,95,0,135.827,0.170528,0.547512,-0.297995,0.918016,2.42461,1.29836,-0.183528,-2.17719,-4.28142,-0.0496132,-0.899779,0.836074,1.24447,0.83535,-1.9493,-0.0441378,-2.07972,-4.1258,-3.3754,0.307586,0.0112703,0.772899,1.80927,-0.0411905,0.922047,-0.22193,-2.42316,-1.53057,-3.81653,1.10503,-1.16809,0.311359,-0.399077,-0.760299,1.92351,1.10241,-0.851247,-4.55666,-4.00543,1.67788,-0.62363,0.152322,-0.10395,2.56737,-0.0273756,1.59146,-0.215208,-0.237928,-0.10652,-0.240714,-0.0264336,0.00468127,-0.0156319,-0.206055,-0.134274,-0.19786,2.70393,2.07958,0.54425,2.34619,-2.04308,-2.36876,-2.33892,0.97941,-0.748631,0.568566
-102.692,0.988976,0.0891479,5,31,0,129.274,0.188413,0.290742,-0.379814,1.96859,1.05742,2.6152,-0.153618,-2.53007,-5.8013,-0.146248,-1.2891,-0.357241,0.242519,0.666838,-0.0570138,0.455815,-1.01596,-3.97025,-5.69667,0.967622,0.0399743,0.837105,0.727675,0.10381,1.21146,1.48502,-3.76554,-0.399521,-2.972,1.9546,-0.970175,1.11359,0.650367,0.139065,1.43353,0.864775,-2.4834,-2.34155,-3.04413,0.36178,0.328727,-0.0945524,-0.0819671,2.03375,-0.0554816,1.03234,-0.24174,-0.25002,-0.121185,-0.272218,-0.0218458,-0.0182883,-0.0360008,-0.199475,-0.158278,-0.223356,3.6814,1.99974,0.383442,2.2093,-1.76925,-2.1098,-2.44863,0.0128055,-0.153897,1.64123
